ID;STORE;SUPPLIER_CODE;PART_NO;MATERIAL_CODE;INITIAL_DATE;INITIAL_BY;INITIAL_STOCK;STOCK_WEIGHT
278;RM;TTMI-KNSS;PH-039GU;SCGA270D-450.6336;2021-12-10;Admin;490;2365
279;RM;TTMI-KNSS;PH-044N;SCGA270C-451.267;2021-11-19;Admin;1248;1841
280;RM;TTMI-KNSS;PH-047N;SHGA270C-451.6396;2021-11-19;Admin;0;0
281;RM;TTMI-KNSS;PH-048N;SHGA270C-451.6396;2021-12-10;Admin;1866;2956
282;RM;TTMI-KNSS;PH-048NB;SCGA270C-451.2139;2021-11-19;Admin;390;390
283;RM;TTMI-KNSS;AH-042GU;SCGA270C-451.2139;2021-11-19;Admin;1857;5510
284;RM;TTMI-KNSS;PH-048GU;SCGA270C-451141;2021-11-19;Admin;0;0
285;RM;TTMI-KNSS;AH-043GU;SCGA270C-451141;2021-11-19;Admin;1225;2574
286;RM;TTMI-KNSS;PH-049GU;SHGA270C-451.8198;2021-11-19;Admin;2049;5598
287;RM;TTMI-KNSS;PH-077GU;SHGA270C-451.8198;2021-11-19;Admin;0;0
288;RM;TTMI-KNSS;PH-112N;SCGA270C-450.6344;2021-11-19;Admin;1181;1541
289;RM;TTMI-KNSS;PH-113N;SCGA270C-451.4315;2021-11-19;Admin;656;328
290;RM;SCI-TMMIN SCHEME;PH-129;SPH440-OD3.2155;2021-11-19;Admin;5788;10076
291;RM;TTMI-KNSS;NT-0381;SPC270C1.488;2021-12-10;Admin;731;2924
